Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Erick Aybar","SDP",3,0,0,0,0,0,0,0,0,0,-0.4467060669454546,-0.8124060659798593,0,-100,4082
"Total","Gorkys Hernandez","2 Tms",520,0.075,0.234615384,0.319672131,0.25,0.313953488,0.368534482,0.68248797,0.118534482,0.315634218,53.32730982387922,-8.735689253262066,0.29709662108569757,85.72359681225241,4146
"Total","Jake Arrieta","2 Tms",127,0.031496062,0.511811023,0.061538461,0.101694915,0.13114754,0.177966101,0.309113641,0.076271186,0.196078431,-4.172712152725396,-19.62501203817719,0.1355716962306226,-25.537077385622503,4153
"Total","Yunel Escobar","LAA",271,0.077490774,0.136531365,0.567567567,0.245967741,0.309963099,0.379032258,0.688995357,0.133064517,0.268292682,28.332156320105874,-4.702743592668688,0.3003363615912265,87.09052515389982,4191
"Total","Ryan Zimmerman","WSN",809,0.074165636,0.213844252,0.346820809,0.261517615,0.320148331,0.48102981,0.801178141,0.219512195,0.291353383,111.41648261283821,13.446383424450811,0.33866283511466316,106.16859543094597,4220
"Total","Howie Kendrick","2 Tms",592,0.057432432,0.170608108,0.336633663,0.32037037,0.366554054,0.505555555,0.872109609,0.185185185,0.359813084,96.80646519803025,24.235665534367335,0.3674733467311827,125.21426939559063,4229
"Total","Jered Weaver","SDP",8,0,0.625,0,0,0,0,0,0,0,-1.1912161785212123,-2.1664161759462917,0,-100,4235
"Total","Shane Robinson","2 Tms",45,0.066666666,0.066666666,1,0.195121951,0.244444444,0.292682926,0.53712737,0.097560975,0.184210526,2.297038425211924,-3.018461469109041,0.23602254655626084,43.982440693667975,4249
"Total","David Hernandez","CIN",1,0,0,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,4259
"Total","Tyler Chatwood","2 Tms",72,0.027777777,0.194444444,0.142857142,0.152542372,0.180327868,0.20338983,0.383717698,0.050847458,0.2,-0.30332556761680307,-9.01812548585115,0.16891811226235062,-9.81433333064012,4338
"Total","Scott Van Slyke","LAD",14,0.142857142,0.285714285,0.5,0.083333333,0.214285714,0.333333333,0.547619047,0.25,0,0.7557749957554453,-0.9508249997384436,0.24041954960141862,46.25759668157301,4365
"Total","Jeremy Hellickson","2 Tms",66,0.075757575,0.272727272,0.277777777,0.074074074,0.152542372,0.129629629,0.282172001,0.055555555,0.111111111,-2.1444449865519886,-10.118844910830248,0.1354746717517659,-28.06172768826557,4371
"Total","Erik Kratz","4 Tms",199,0.020100502,0.211055276,0.095238095,0.219251336,0.262626262,0.320855614,0.583481876,0.101604278,0.257142857,13.83244305834265,-9.813656486718937,0.25737466204046,57.19857839978168,4403
"Total","Jed Lowrie","OAK",1,0,0,0,0,0,0,0,0,0,-0.13982742864230296,-0.25672742563822887,0,-100,4418
"Total","Jordan Zimmermann","DET",8,0,0.5,0,0.125,0.125,0.125,0.25,0,0.25,-0.43671017094750014,-1.4099101643194638,0.10958360135555267,-35.9499348489729,4505
"Total","Jason Hammel","KCR",11,0,0.363636363,0,0,0,0,0,0,0,-1.6106984644481213,-2.936598452860978,0,-100,4538
"Total","Starlin Castro","2 Tms",1351,0.049592894,0.183567727,0.27016129,0.270998415,0.307920059,0.412836767,0.720756826,0.141838352,0.307459677,150.7756549744806,-13.464243602851898,0.30670808494444773,92.24331985788527,4579
"Total","Russell Martin","2 Tms",732,0.136612021,0.232240437,0.588235294,0.21533442,0.340163934,0.35725938,0.697423314,0.14192496,0.260047281,84.14373796699473,-4.4990612092810025,0.3113128148806275,94.15655385940586,4616
"Total","Brandon McCarthy","2 Tms",49,0.061224489,0.571428571,0.107142857,0.069767441,0.130434782,0.116279069,0.246713851,0.046511628,0.2,-2.2546932130998045,-8.10279313027319,0.11848262470701466,-35.28768338814743,4662
"Total","Charlie Morton","HOU",9,0,0.555555555,0,0.111111111,0.111111111,0.111111111,0.222222222,0,0.25,-0.5681629991527184,-1.6352629801626786,0.09772563642925686,-42.42560678953039,4676
"Total","Matt Cain","SFG",22,0,0.545454545,0,0.2,0.2,0.25,0.45,0.05,0.5,0.3093011276721112,-2.372498865246857,0.19310873746871948,15.086529815701057,4732
"Total","Felix Hernandez","SEA",6,0,0.166666666,0,0,0,0,0,0,0,-0.8605627714416966,-1.5799627600929722,0,-100,4772
