Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Derek Holland","2 Tms",27,0,0.629629629,0,0.04,0.04,0.04,0.08,0,0.125,-3.0956630722718037,-6.314963014526824,0.03518122911453247,-84.72619881292503,4141
"Total","Gorkys Hernandez","2 Tms",336,0.071428571,0.232142857,0.307692307,0.216828478,0.272455089,0.336569579,0.609024668,0.119741101,0.269911504,24.98630125768563,-15.270098217352425,0.26441168605563153,63.207585550828284,4146
"Total","Jake Arrieta","2 Tms",37,0.027027027,0.351351351,0.076923076,0.272727272,0.294117647,0.272727272,0.566844919,0,0.45,2.5065755349626038,-1.9827244254718333,0.2519693655126235,53.301418212271074,4153
"Total","Yunel Escobar","LAA",110,0.072727272,0.127272727,0.571428571,0.343137254,0.39090909,0.44117647,0.83208556,0.098039216,0.390804597,17.223413955135346,3.8144139905405026,0.36199158321727404,129.25435338811096,4191
"Total","Ryan Zimmerman","WSN",280,0.110714285,0.167857142,0.659574468,0.351020408,0.417857142,0.636734693,1.054591835,0.285714285,0.372972972,61.481063655139735,27.557063935818014,0.4365367590312889,171.05527205821454,4220
"Total","Howie Kendrick","2 Tms",272,0.073529411,0.165441176,0.444444444,0.334661354,0.386029411,0.537848605,0.923878016,0.203187251,0.374358974,49.87613988058786,16.44534000890474,0.3895069142989127,139.4805040050568,4229
"Total","Jered Weaver","SDP",2,0,0.5,0,0,0,0,0,0,0,-0.2978040446303031,-0.5416040439865729,0,-100,4235
"Total","Jose Lobaton","2 Tms",57,0.035087719,0.175438596,0.2,0.163636363,0.192982456,0.181818181,0.374800637,0.018181818,0.2,-0.2631030328205396,-7.121402966194468,0.16901344374606483,-3.569873161446151,4243
"Total","Shane Robinson","2 Tms",44,0.09090909,0.181818181,0.5,0.128205128,0.209302325,0.128205128,0.337507453,0,0.161290322,-0.32463710099372944,-5.588237033187486,0.16632222852041556,-5.847191026268107,4249
"Total","Matt Wieters","2 Tms",186,0.112903225,0.306451612,0.368421052,0.220858895,0.311827956,0.404907975,0.716735931,0.18404908,0.275510204,20.913126332979928,-1.665273489135973,0.30819312495154305,87.5717021753959,4298
"Total","Tyler Chatwood","2 Tms",28,0.035714285,0.25,0.142857142,0.173913043,0.208333333,0.173913043,0.382246376,0,0.25,0.3532855320993533,-3.045914445417775,0.17522471398115158,5.247059859315153,4338
"Total","Scott Van Slyke","LAD",34,0.147058823,0.323529411,0.454545454,0.137931034,0.264705882,0.275862068,0.54056795,0.137931034,0.176470588,1.6646252893814562,-2.479974699675131,0.23446568937012643,42.349013175435815,4365
"Total","Jeremy Hellickson","2 Tms",20,0,0.35,0,0.105263157,0.105263157,0.157894736,0.263157893,0.052631579,0.166666666,-1.1243554365773065,-3.5153554019470077,0.1117865098150153,-44.27237209395495,4371
"Total","Erik Kratz","4 Tms",75,0.053333333,0.16,0.333333333,0.208955223,0.266666666,0.373134328,0.639800994,0.164179105,0.218181818,6.358541574870513,-2.5129582392226,0.27453203121821085,68.59584736527931,4403
"Total","Jed Lowrie","2 Tms",364,0.107142857,0.189560439,0.565217391,0.254658385,0.335164835,0.391304347,0.726469182,0.136645962,0.305220883,43.64423048171435,0.3236311641636983,0.3183519522567372,102.33197394980078,4418
