Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Total,Greg Bird,NYY,110,0.109090909,0.245454545,0.444444444,0.244680851,0.336363636,0.510638297,0.847001933,0.265957446,0.258064516,16.74250621,3.642506429,0.356404876,125.3104859,14131
Total,Derek Fisher,2 Tms,106,0.113207547,0.29245283,0.387096774,0.25,0.330188679,0.445652173,0.775840852,0.195652173,0.322033898,13.84565546,0.785255505,0.328097696,106.5260155,16192
Total,Mike Tauchman,2 Tms,104,0.134615384,0.25,0.538461538,0.32183908,0.417475728,0.459770114,0.877245842,0.137931034,0.44262295,18.12872466,5.189124673,0.378199603,133.3735977,15274
Total,Luis Arraez,MIN,103,0.174757281,0.08737864,2,0.273809523,0.398058252,0.297619047,0.695677299,0.023809524,0.302631578,12.7934808,-0.174219238,0.317943252,96.17661489,18568
Total,Nicky Delmonico,CHW,102,0.137254901,0.323529411,0.424242424,0.2,0.333333333,0.364705882,0.698039215,0.164705882,0.3,11.77889733,-0.420902502,0.312247919,96.80366049,13157
Total,Ryan O'Hearn,KCR,102,0.107843137,0.352941176,0.305555555,0.144444444,0.235294117,0.255555555,0.490849672,0.111111111,0.192307692,4.244470263,-8.228329635,0.222101901,31.30823204,16442
Total,Brandon Lowe,TBR,102,0.039215686,0.460784313,0.085106382,0.224489795,0.25490196,0.428571428,0.683473388,0.204081633,0.355555555,9.846213649,-2.689586271,0.287337022,80.79910221,18882
Total,Gregor Blanco,2 Tms,95,0.042105263,0.263157894,0.16,0.213483146,0.247311827,0.269662921,0.516974748,0.056179775,0.285714285,4.271509846,-7.148990038,0.228660071,33.77778068,3123
Total,Christin Stewart,DET,95,0.084210526,0.210526315,0.4,0.231707317,0.326315789,0.329268292,0.655584081,0.097560975,0.29032258,9.604182875,-2.23031711,0.292058379,78.92292796,17714
Total,Daniel Palka,CHW,94,0.074468085,0.393617021,0.189189189,0.186046511,0.255319148,0.26744186,0.522761008,0.081395349,0.29787234,4.955233746,-6.132366008,0.237019072,46.68001757,14897
Total,Dominic Smith,NYM,93,0.096774193,0.279569892,0.346153846,0.207317073,0.29032258,0.353658536,0.643981116,0.146341463,0.272727272,8.414187492,-2.966512448,0.280516901,75.2010286,15653
Total,Travis Jankowski,SDP,92,0.086956521,0.347826086,0.25,0.170731707,0.260869565,0.207317073,0.468186638,0.036585366,0.28,3.660311846,-7.202487933,0.221450369,35.88888881,13768
Total,Tyler Naquin,CLE,91,0.043956043,0.197802197,0.222222222,0.277108433,0.311111111,0.457831325,0.768942436,0.180722892,0.301587301,11.51883779,0.221937811,0.320774834,95.43805169,13359
Total,Mike Yastrzemski,SFG,89,0.056179775,0.224719101,0.25,0.329268292,0.382022471,0.560975609,0.94299808,0.231707317,0.396551724,16.65771222,5.452612194,0.390774839,145.8988452,14854
Total,Rio Ruiz,2 Tms,88,0.056818181,0.25,0.227272727,0.275,0.310344827,0.4375,0.747844827,0.1625,0.333333333,10.43821582,-0.584984198,0.313723274,90.91166923,14103
Total,Luis Valbuena,LAA,87,0.103448275,0.264367816,0.391304347,0.162162162,0.252873563,0.283783783,0.536657346,0.121621621,0.192307692,4.661854642,-5.743445223,0.239484499,46.95059248,4969
Total,Jace Peterson,3 Tms,85,0.117647058,0.2,0.588235294,0.150684931,0.261904761,0.260273972,0.522178733,0.109589041,0.166666666,4.791545604,-5.468954275,0.239786893,43.16514442,12325
Total,Stephen Vogt,3 Tms,80,0.0375,0.2125,0.176470588,0.213333333,0.2375,0.36,0.5975,0.146666667,0.24137931,5.078699287,-4.861300718,0.249055155,51.15280723,5000
